x,y,raw,cumulative,Logistic
-53.237550550514996,-32.365239960394,1.48933E-4,26.770657799,0.394825862
-43.958271271244996,-9.572447167623999,7.03129E-5,10.349550199,0.235482144
-115.850163163065,32.679805084586,1.09898E-5,1.589058648,0.045931036
-90.985298298225,15.022147426945999,2.40162E-4,45.57642736,0.512684238
-90.805118118045,15.742868147666009,2.86587E-5,3.8114963,0.111539915
-56.030343343305,-3.8967714919539986,4.71174E-5,6.449196361,0.171089788
-67.56187487482501,9.796922201725998,4.72111E-4,77.920302299,0.674069545
-99.633946946865,22.049174453965996,6.55152E-5,9.630696993,0.222997422
-74.048361361305,4.571696976506004,1.85933E-5,2.56335043,0.075315718
-101.706019018935,24.301426706216,1.60534E-6,0.047607303,0.006983287
-50.354667667635,-0.20307779826399752,3.16329E-5,4.210542454,0.121706671
-57.922235235195004,-0.5634381586240025,9.74714E-6,1.385429419,0.040950016
-63.597910910865004,-5.968843564023999,8.69916E-6,1.164841064,0.036708817
-65.399712712665,2.7698951747060008,5.59414E-6,0.348933238,0.023919606
-45.669982982955005,-20.743618338784003,1.82983E-4,34.22028812,0.444930735
-72.246559559505,-49.752627347764005,7.50848E-7,0.016326395,0.003278397
-65.850163163115,-44.977852572994,1.17111E-7,0.001645633,0.000512755
-37.291604604585004,-10.112987708163999,1.03653E-3,97.370414418,0.81951505
-56.030343343305,-6.869744464923997,1.16638E-5,1.678444185,0.048611006
-60.084397397355,-2.1850597802439964,1.39593E-5,1.992088148,0.057626304
-65.850163163115,-16.869744464914,4.45713E-6,0.224260876,0.019151066
-66.751064064015,8.175300580106004,8.72789E-5,13.567688329,0.276586581
-59.273586586545,-30.563438158594,2.5796E-5,3.411215013,0.101529309
-61.615928928885,-29.121996717154,2.51886E-4,48.156348562,0.524583091
-46.300613613585,-12.094969690143998,1.35938E-5,1.934215371,0.056202572
-116.21052352342501,32.589714994496,2.55882E-6,0.090692428,0.011084941
-62.066379379335004,9.076201481006002,1.74637E-4,32.220373741,0.433433811
-60.534847847805,-5.338212933393997,2.58637E-5,3.426714233,0.101768691
-73.597910910855,-6.058933654114,9.56162E-6,1.346809796,0.040201944
-59.273586586545,5.112237517046005,1.42997E-5,2.054298564,0.058948748
-69.273586586535,-26.329203924364002,9.63702E-7,0.023192981,0.004203864
-43.958271271244996,-14.167041762213998,2.18039E-4,41.090392494,0.488529302
-46.751064064035006,-1.644519239703996,2.29421E-4,43.349653941,0.501248126
-41.796109109084995,-4.076951672134001,1.10726E-4,18.751607188,0.326621169
-67.56187487482501,-25.248122843284,1.93182E-7,0.00298799,0.000845541
-68.823136136085,-22.635510230674,2.41628E-6,0.084693834,0.010473959
-115.219532532435,32.589714994496,1.29748E-5,1.838552237,0.053781018
-52.246559559525,-1.8246994198839985,1.01984E-4,16.818687177,0.308796191
-46.210523523495,-11.374248969424002,4.58978E-4,76.567180737,0.667840964
-61.796109109065,-2.004879600064001,9.65921E-6,1.365052508,0.040595588
-102.246559559475,22.139264544055997,2.32899E-5,3.09483722,0.092578789
-63.688001000955,-10.293167888344001,1.67528E-4,30.627158626,0.423257153
-117.11142442432501,32.499624904406,2.34822E-5,3.115891297,0.093272166
-68.192505505455,-40.563438158584,1.05264E-6,0.026419803,0.004590059
-47.381694694665,-6.509384104563999,2.80812E-4,53.071644077,0.551595978
-93.688001000925,17.81494021973601,1.6434E-4,30.062703853,0.418574603
-67.47178478473501,-35.248122843274004,2.5257E-7,0.004015403,0.001105189
-60.174487487445,-15.067942663114003,1.58207E-4,28.887847731,0.409347951
-75.489802802745,-3.626501221684002,7.17078E-6,0.7292505,0.030455765
-56.300613613575,-19.031906627074,1.2656E-4,22.045971731,0.356669513
-77.561874874815,8.535660940465995,6.39496E-6,0.491231119,0.027250496
-46.84115415412499,-23.806681401844003,4.51914E-5,6.102651061,0.165252025
-98.55286586578501,24.301426706216,2.83363E-4,53.466556814,0.553831365
-61.525838838795,-16.239113834283998,1.60438E-4,29.381656404,0.41273852
-74.318631631575,5.9230483278560015,6.22005E-5,9.020345321,0.214131022
-68.642955955905,-24.887762482924,1.01957E-7,0.001347631,0.000446436
-55.579892892855,-14.707582302753998,1.46567E-4,26.297824999,0.391007104
-46.751064064035006,-6.779654374834003,2.08266E-4,39.295586535,0.477079045
-71.61592892887501,-41.644519239664,4.14864E-5,5.618036487,0.15378745
-97.651964964885,18.445570850366003,6.86178E-5,10.133552564,0.231117309
-97.471784784705,17.81494021973601,8.69372E-5,13.471870111,0.275802496
-38.372685685665004,-12.365239960414002,3.41127E-4,62.048767619,0.599093615
-58.102415415375,-36.239113834264,1.07824E-6,0.027591532,0.004701142
-71.255568568515,-31.824699419854,6.80435E-5,10.031085253,0.229626975
-42.69701000998499,-4.887762482943998,2.45154E-4,46.860641655,0.51782238
-115.03935235225501,32.499624904406,1.09044E-5,1.572634582,0.045590437
-89.814127127055,16.283408688206002,1.43515E-4,25.426405179,0.386007771
-69.81412712707501,-22.635510230674,1.41512E-5,2.021605336,0.058372309
-71.61592892887501,-6.058933654114,1.04332E-5,1.504325947,0.043706464
-57.471784784745,-22.094969690134,1.18862E-4,20.299676916,0.342403268
-43.417730730705,-17.860735455904,1.87483E-4,35.126804054,0.45093871
-66.30061361356499,-39.662537257684,6.36597E-6,0.48485006,0.027130291
-116.931244244145,32.409534814316,4.62807E-5,6.281024873,0.168563785
-50.624937937905,-29.752627347784,4.65445E-5,6.332075803,0.169361961
-64.498811811765,-16.689564284733997,1.64839E-5,2.321461184,0.067346726
-63.958271271225,-36.329203924354005,1.28821E-6,0.035345917,0.005611498
-53.778091091055,5.742868147675999,4.08554E-5,5.539853426,0.151803507
-57.201514514475,-12.995870591044003,6.74219E-5,9.963309591,0.228007803
-74.769082082025,-12.455330050504003,2.17787E-5,2.945910513,0.087095066
-78.642955955895,-3.266140861323997,1.00443E-5,1.438863997,0.042145986
-39.994307307285,-9.031906627083998,1.71005E-4,31.337421058,0.428280115
-76.75106406400499,7.364489769296,1.70289E-4,31.234894769,0.427253276
-72.156469469415,-36.239113834264,3.01232E-5,4.013460348,0.11657508
-52.606919919885,-27.320194915354,2.15277E-5,2.924199092,0.086177854
-71.70601901896501,-30.833708428864,1.48617E-5,2.138642896,0.061124248
-56.570883883845,-29.932807527964002,1.8104E-5,2.506422633,0.073479418
-61.525838838795,-32.635510230663996,4.21131E-5,5.697396125,0.155748559
-69.63394694689501,-24.617492212654,7.14841E-6,0.719223317,0.030363648
-54.588901901865,-10.022897618073998,6.97569E-5,10.237432698,0.234056016
-56.931244244205,-13.356230951404001,4.11915E-4,71.132382486,0.643422888
-65.219532532485,-6.149023744204001,8.58406E-6,1.131986923,0.036240706
-47.651964964935004,-16.419294014464,1.05135E-4,17.585029442,0.315328558
-93.057370370295,15.923048327845997,1.3764E-4,24.147144678,0.376148773
-57.381694694655,-24.617492212654,1.44099E-4,25.555817878,0.386969806
-55.129442442405,-15.158032753203997,2.3146E-4,43.925914596,0.503459991
-70.985298298245,-14.617492212663997,2.044E-6,0.068258998,0.008874537
-41.255568568545,-5.968843564023999,6.23864E-4,89.088694288,0.732112519
-53.688001000965,-28.221095816254,2.43919E-4,46.542585693,0.516561323
-109.90421721712501,23.040165444955996,1.91025E-4,35.827284345,0.455577496
-73.237550550495,-41.284158879304,3.579E-6,0.15429967,0.01543624
-43.327640640615,-13.626501221673998,6.14199E-4,88.468776854,0.729039152
-39.003316316295,-9.031906627083998,3.02784E-5,4.034629655,0.117105642
-117.11142442432501,32.31944472422601,6.78859E-7,0.013943623,0.002965005
-45.489802802775,-2.6355102306940026,1.25905E-4,21.869290117,0.355479699
-101.706019018935,21.688814093606005,2.11325E-5,2.875075146,0.084729635
-54.588901901865,-8.491366086543998,2.35636E-5,3.130012487,0.093565058
-50.805118118085005,-19.932807527974,2.72122E-4,51.689709803,0.543808354
-43.778091091064994,-6.599474194654,1.05092E-4,17.564005154,0.315241784
-54.408721721685,-29.302176897334,1.08531E-4,18.345334368,0.322232388
-44.408721721695,-19.212086807254003,3.07251E-4,57.324982805,0.573733555
-63.597910910865004,-1.2841588793439982,3.56025E-6,0.152156584,0.015356598
-64.678991991945,-34.617492212644,5.1872E-6,0.300253738,0.022218271
-59.633946946905,0.7879131927260019,4.93332E-5,6.849251214,0.177706035
