x,y,raw,cumulative,Logistic
-117.33255464545451,32.540574945454495,2.70529E-4,9.270937701,0.351956877
-116.4234637363635,32.540574945454495,3.36378E-4,15.321958684,0.403092945
-115.51437282727251,32.540574945454495,2.51076E-4,7.789560027,0.335130212
-114.6052819181815,32.540574945454495,2.23424E-4,6.172423276,0.309650058
-113.6961910090905,32.540574945454495,8.74277E-5,1.16390504,0.149310888
-117.33255464545451,31.631484036363503,1.22905E-4,2.145046917,0.197908346
-116.4234637363635,31.631484036363503,3.50713E-4,16.729745057,0.413173542
-115.51437282727251,31.631484036363503,4.12465E-4,23.657779737,0.452970218
-114.6052819181815,31.631484036363503,1.90622E-4,4.513972998,0.276770546
-113.6961910090905,31.631484036363503,1.49075E-4,2.889813672,0.230342887
-112.7871000999995,31.631484036363503,1.87629E-4,4.362611845,0.273614498
-111.8780091909085,31.631484036363503,2.11777E-4,5.627941024,0.298323061
-110.96891828181751,31.631484036363503,2.72568E-4,9.515454802,0.353671364
-110.0598273727265,31.631484036363503,3.19805E-4,13.621819282,0.390998264
-109.1507364636355,31.631484036363503,5.12627E-4,39.624158796,0.507179465
-108.2416455545445,31.631484036363503,1.91873E-4,4.55226104,0.278082345
-107.3325546454535,31.631484036363503,8.8684E-5,1.190387634,0.151132097
-106.4234637363625,31.631484036363503,1.74753E-4,3.848645726,0.259714103
-105.5143728272715,31.631484036363503,1.86632E-4,4.26899053,0.272556066
-116.4234637363635,30.722393127272497,1.48998E-4,2.874906125,0.230250831
-115.51437282727251,30.722393127272497,3.22712E-4,14.039664499,0.393154979
-114.6052819181815,30.722393127272497,8.18784E-5,1.061951329,0.141171542
-112.7871000999995,30.722393127272497,2.10028E-4,5.480201736,0.296590566
-111.8780091909085,30.722393127272497,2.30198E-4,6.558684524,0.3160707
-110.96891828181751,30.722393127272497,5.19684E-4,41.432035526,0.510596263
-110.0598273727265,30.722393127272497,4.11228E-4,23.492989554,0.452226169
-109.1507364636355,30.722393127272497,4.81522E-4,33.560071968,0.491531338
-108.2416455545445,30.722393127272497,7.11938E-4,79.15020199,0.58835339
-107.3325546454535,30.722393127272497,1.87603E-4,4.343848917,0.273586794
-106.4234637363625,30.722393127272497,1.03349E-4,1.573776122,0.171829526
-105.5143728272715,30.722393127272497,1.48606E-4,2.860006318,0.229783747
-104.60528191818051,30.722393127272497,1.54432E-4,3.072336629,0.236660912
-115.51437282727251,29.813302218181505,9.57496E-5,1.394817148,0.16123165
-114.6052819181815,29.813302218181505,6.01971E-5,0.656032689,0.107820091
-113.6961910090905,29.813302218181505,1.21298E-4,2.071665045,0.195827127
-112.7871000999995,29.813302218181505,1.00996E-4,1.512428534,0.168577001
-111.8780091909085,29.813302218181505,2.0178E-4,5.047207952,0.288300765
-110.96891828181751,29.813302218181505,2.56162E-4,8.194611595,0.339613525
-110.0598273727265,29.813302218181505,4.10724E-4,23.369688619,0.451922181
-109.1507364636355,29.813302218181505,5.00056E-4,37.241920222,0.500972962
-108.2416455545445,29.813302218181505,2.59487E-4,8.530145612,0.342511265
-107.3325546454535,29.813302218181505,4.21738E-4,24.700887107,0.458484769
-106.4234637363625,29.813302218181505,4.73235E-4,32.367077235,0.487193535
-105.5143728272715,29.813302218181505,1.62296E-4,3.341002602,0.245750474
-104.60528191818051,29.813302218181505,1.52111E-4,2.980094776,0.233936177
-103.6961910090895,29.813302218181505,2.48347E-4,7.639440361,0.332699037
-102.7871000999985,29.813302218181505,1.63898E-4,3.390004248,0.247575982
-101.8780091909075,29.813302218181505,3.43067E-4,16.035962884,0.407839474
-100.9689182818165,29.813302218181505,2.77004E-4,9.873204151,0.357370171
-114.6052819181815,28.9042113090905,4.15244E-5,0.357632215,0.076948565
-113.6961910090905,28.9042113090905,1.11814E-4,1.791052029,0.183323422
-112.7871000999995,28.9042113090905,1.3758E-4,2.588320271,0.216424665
-111.8780091909085,28.9042113090905,2.5429E-4,8.117970361,0.337970141
-110.96891828181751,28.9042113090905,3.01563E-4,12.007934169,0.377106281
-110.0598273727265,28.9042113090905,4.654E-4,31.192838314,0.483023794
-109.1507364636355,28.9042113090905,4.99568E-4,37.041971575,0.500728824
-108.2416455545445,28.9042113090905,2.40475E-4,7.14988763,0.325587249
-107.3325546454535,28.9042113090905,3.21362E-4,13.878488576,0.392155757
-106.4234637363625,28.9042113090905,3.54031E-4,17.011707689,0.415458583
-105.5143728272715,28.9042113090905,1.67832E-4,3.539530247,0.252019987
-104.60528191818051,28.9042113090905,1.58674E-4,3.212881752,0.241591412
-103.6961910090895,28.9042113090905,1.70962E-4,3.675345824,0.255519828
-102.7871000999985,28.9042113090905,5.84594E-4,59.99867633,0.539936887
-101.8780091909075,28.9042113090905,5.50117E-4,50.311532041,0.524805259
-100.9689182818165,28.9042113090905,5.75473E-4,57.620682276,0.536028474
-100.05982737272551,28.9042113090905,7.22517E-4,81.014571433,0.591920898
-115.51437282727251,27.995120399999493,4.03488E-5,0.333084201,0.07493332
-114.6052819181815,27.995120399999493,4.77904E-5,0.494083812,0.087543529
-113.6961910090905,27.995120399999493,1.22035E-4,2.108263463,0.196782897
-112.7871000999995,27.995120399999493,1.19875E-4,2.011284525,0.193976452
-111.8780091909085,27.995120399999493,4.74166E-5,0.46077285,0.086918343
-110.96891828181751,27.995120399999493,2.04712E-4,5.149112057,0.291269668
-110.0598273727265,27.995120399999493,5.67085E-4,55.278365762,0.532374854
-109.1507364636355,27.995120399999493,5.67619E-4,55.505317617,0.532609139
-108.2416455545445,27.995120399999493,2.19698E-4,5.994855465,0.30606606
-107.3325546454535,27.995120399999493,2.05036E-4,5.190092444,0.291596842
-106.4234637363625,27.995120399999493,3.52474E-4,16.905646649,0.414388725
-105.5143728272715,27.995120399999493,2.03125E-4,5.067520492,0.289666307
-104.60528191818051,27.995120399999493,1.26214E-4,2.282248135,0.202160226
-103.6961910090895,27.995120399999493,1.66914E-4,3.489338217,0.250987632
-102.7871000999985,27.995120399999493,5.13141E-4,39.829297802,0.507429803
-101.8780091909075,27.995120399999493,5.39353E-4,47.528352712,0.519874906
-100.9689182818165,27.995120399999493,4.03672E-4,22.229918597,0.447636463
-100.05982737272551,27.995120399999493,4.71863E-4,32.130667009,0.486468154
-99.1507364636345,27.995120399999493,8.16844E-4,90.476661369,0.621193886
-114.6052819181815,27.0860294909085,4.09989E-5,0.353479776,0.076048759
-113.6961910090905,27.0860294909085,1.37185E-4,2.560822572,0.215937166
-112.7871000999995,27.0860294909085,1.95604E-4,4.687962152,0.28196514
-111.8780091909085,27.0860294909085,1.89545E-4,4.456922784,0.275637808
-110.96891828181751,27.0860294909085,8.08521E-5,1.045632556,0.139649118
-110.0598273727265,27.0860294909085,3.78418E-4,19.794351152,0.431721728
-109.1507364636355,27.0860294909085,7.58372E-4,85.611691447,0.603565913
-108.2416455545445,27.0860294909085,5.19406E-4,41.276150281,0.510462591
-107.3325546454535,27.0860294909085,1.97863E-4,4.747107431,0.284295522
-106.4234637363625,27.0860294909085,3.56271E-4,17.26059884,0.416991519
-105.5143728272715,27.0860294909085,4.27782E-4,25.253567844,0.46201944
-104.60528191818051,27.0860294909085,1.99073E-4,4.846475051,0.285537999
-103.6961910090895,27.0860294909085,2.97929E-4,11.707978317,0.374262473
-102.7871000999985,27.0860294909085,5.25139E-4,42.633655747,0.513205426
-101.8780091909075,27.0860294909085,5.71701E-4,56.75986252,0.534392261
-100.9689182818165,27.0860294909085,6.48446E-4,71.356262069,0.565557876
-100.05982737272551,27.0860294909085,7.17078E-4,80.1511522,0.590094386
