Name,SoilCover,VegCover,Impervious,MinTemp,MedianTemp,MaxTemp,TreeCover,PopDensity,FIPS,ISO2,ISO3,UN,name_2,AREA,POP2005,REGION,SUBREGION,LON,LAT
Aedes aegypti,17.000000000000000,53.000000000000000,20.000000000000000,22.750000000000000,25.750000000000000,28.500000000000000,9.000000000000000,4.518509864807129,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,48.000000000000000,25.000000000000000,25.000000000000000,25.250000000000000,28.000000000000000,30.000000000000000,0.000000000000000,159.446304321289062,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,49.000000000000000,25.000000000000000,24.000000000000000,25.750000000000000,28.000000000000000,30.000000000000000,0.000000000000000,153.274505615234375,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,28.000000000000000,48.000000000000000,23.000000000000000,23.750000000000000,26.000000000000000,28.000000000000000,20.000000000000000,5.931871414184570,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,48.000000000000000,21.000000000000000,27.000000000000000,23.750000000000000,26.250000000000000,28.250000000000000,0.000000000000000,20.859716415405273,VE,VE,VEN,862,Venezuela,88205,26725573,19,5,-66.166,7.125
Aedes aegypti,48.000000000000000,21.000000000000000,27.000000000000000,23.750000000000000,26.250000000000000,28.250000000000000,0.000000000000000,20.859716415405273,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,42.000000000000000,32.000000000000000,23.000000000000000,23.666666030883789,26.000000000000000,28.333333969116211,0.000000000000000,52.919097900390625,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,44.000000000000000,28.000000000000000,26.000000000000000,24.750000000000000,26.750000000000000,28.000000000000000,1.000000000000000,76.794479370117188,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,22.000000000000000,61.000000000000000,16.000000000000000,22.500000000000000,25.250000000000000,28.000000000000000,16.000000000000000,13.571202278137207,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,27.000000000000000,54.000000000000000,18.000000000000000,22.750000000000000,25.750000000000000,29.000000000000000,5.000000000000000,3.126766681671143,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,31.000000000000000,47.000000000000000,20.000000000000000,23.250000000000000,27.000000000000000,29.250000000000000,1.000000000000000,23.911624908447266,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,42.000000000000000,35.000000000000000,22.000000000000000,24.000000000000000,27.250000000000000,29.500000000000000,0.000000000000000,28.386730194091797,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,23.000000000000000,51.000000000000000,23.000000000000000,24.250000000000000,27.250000000000000,30.250000000000000,1.000000000000000,1.511891484260559,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,25.000000000000000,44.000000000000000,27.000000000000000,24.500000000000000,26.500000000000000,27.000000000000000,9.000000000000000,42.941852569580078,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,37.000000000000000,26.000000000000000,35.000000000000000,26.250000000000000,28.000000000000000,29.500000000000000,1.000000000000000,90.554344177246094,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,38.000000000000000,27.000000000000000,35.000000000000000,25.500000000000000,28.000000000000000,29.500000000000000,0.000000000000000,89.054870605468750,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,33.000000000000000,10.000000000000000,55.000000000000000,25.000000000000000,26.750000000000000,28.250000000000000,1.000000000000000,43.320892333984375,VE,VE,VEN,862,Venezuela,88205,26725573,19,5,-66.166,7.125
Aedes aegypti,38.000000000000000,33.000000000000000,31.000000000000000,24.500000000000000,27.750000000000000,29.250000000000000,15.000000000000000,0.080954663455486,VE,VE,VEN,862,Venezuela,88205,26725573,19,5,-66.166,7.125
Aedes aegypti,27.000000000000000,44.000000000000000,27.000000000000000,-124.500000000000000,27.000000000000000,31.500000000000000,12.000000000000000,5.580461025238037,VE,VE,VEN,862,Venezuela,88205,26725573,19,5,-66.166,7.125
