Name,SoilCover,VegCover,Impervious,MinTemp,MedianTemp,MaxTemp,TreeCover,PopDensity,FIPS,ISO2,ISO3,UN,name_2,AREA,POP2005,REGION,SUBREGION,LON,LAT
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,BF,BS,BHS,44,Bahamas,1001,323295,19,29,-78.014,24.628
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,32.000000000000000,33.000000000000000,35.000000000000000,-124.000000000000000,-123.000000000000000,-121.500000000000000,0.000000000000000,17.822696685791016,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,24.000000000000000,30.000000000000000,42.000000000000000,-50.000000000000000,-48.750000000000000,-47.000000000000000,4.000000000000000,24.600576400756836,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,23.000000000000000,34.000000000000000,41.000000000000000,-74.666664123535156,-73.666664123535156,-73.000000000000000,2.000000000000000,22.060157775878906,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,39.000000000000000,18.000000000000000,41.000000000000000,25.250000000000000,27.500000000000000,30.500000000000000,1.000000000000000,59.230060577392578,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,13.000000000000000,68.000000000000000,16.000000000000000,22.250000000000000,23.500000000000000,25.500000000000000,15.000000000000000,10.583791732788086,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,35.000000000000000,26.000000000000000,37.000000000000000,23.500000000000000,26.000000000000000,28.500000000000000,6.000000000000000,15.540616989135742,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,37.000000000000000,24.000000000000000,36.000000000000000,25.000000000000000,28.000000000000000,30.500000000000000,0.000000000000000,70.827064514160156,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,34.000000000000000,11.000000000000000,53.000000000000000,25.000000000000000,28.000000000000000,31.666666030883789,0.000000000000000,90.359420776367188,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,38.000000000000000,13.000000000000000,48.000000000000000,24.666666030883789,27.000000000000000,30.333333969116211,0.000000000000000,86.513847351074219,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,40.000000000000000,20.000000000000000,38.000000000000000,26.000000000000000,27.750000000000000,31.000000000000000,0.000000000000000,78.083724975585938,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,29.000000000000000,11.000000000000000,59.000000000000000,25.000000000000000,28.000000000000000,32.000000000000000,0.000000000000000,90.512115478515625,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,22.000000000000000,44.000000000000000,33.000000000000000,23.000000000000000,25.750000000000000,28.000000000000000,8.000000000000000,21.849990844726562,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,29.000000000000000,22.000000000000000,47.000000000000000,-124.000000000000000,-123.500000000000000,-122.000000000000000,1.000000000000000,23.708721160888672,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,29.000000000000000,33.000000000000000,36.000000000000000,24.666666030883789,26.666666030883789,30.000000000000000,1.000000000000000,18.041854858398438,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,33.000000000000000,25.000000000000000,37.000000000000000,24.500000000000000,27.000000000000000,30.250000000000000,0.000000000000000,49.142913818359375,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,13.000000000000000,67.000000000000000,15.000000000000000,23.000000000000000,24.250000000000000,25.500000000000000,15.000000000000000,0.410610139369965,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,9.000000000000000,74.000000000000000,14.000000000000000,21.750000000000000,23.500000000000000,25.750000000000000,12.000000000000000,1.448289394378662,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,30.000000000000000,25.000000000000000,41.000000000000000,25.000000000000000,27.000000000000000,29.250000000000000,9.000000000000000,36.211036682128906,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,13.000000000000000,70.000000000000000,17.000000000000000,22.500000000000000,24.750000000000000,26.750000000000000,20.000000000000000,28.867380142211914,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
Aedes aegypti,25.000000000000000,40.000000000000000,32.000000000000000,24.250000000000000,26.250000000000000,28.750000000000000,3.000000000000000,39.344669342041016,CU,CU,CUB,192,Cuba,10982,11259905,19,29,-77.781,21.297
