class,feature,SoilCover,VegCover,Impervious,MinTemp,MedianTemp,MaxTemp,TreeCover,PopDensity
3,6985,7.000000000000000,88.000000000000000,3.000000000000000,18.750000000000000,20.750000000000000,21.250000000000000,100.000000000000000,0.000614900083747
3,7559,14.000000000000000,71.000000000000000,15.000000000000000,19.250000000000000,23.250000000000000,25.000000000000000,15.000000000000000,0.453216761350632
3,8093,13.000000000000000,74.000000000000000,12.000000000000000,7.000000000000000,15.250000000000000,20.750000000000000,44.000000000000000,0.301902651786804
3,8259,4.000000000000000,90.000000000000000,5.000000000000000,20.250000000000000,22.500000000000000,24.000000000000000,100.000000000000000,0.000088036278612
3,8652,7.000000000000000,81.000000000000000,10.000000000000000,20.500000000000000,22.000000000000000,23.000000000000000,97.000000000000000,0.004574406892061
3,8929,5.000000000000000,88.000000000000000,6.000000000000000,21.000000000000000,22.000000000000000,22.750000000000000,100.000000000000000,0.008089859969914
3,9333,5.000000000000000,85.000000000000000,7.000000000000000,18.750000000000000,19.750000000000000,21.500000000000000,99.000000000000000,0.005226083099842
3,9869,5.000000000000000,90.000000000000000,5.000000000000000,19.250000000000000,20.500000000000000,21.250000000000000,100.000000000000000,0.001376098487526
3,217,27.000000000000000,31.000000000000000,39.000000000000000,23.000000000000000,26.250000000000000,28.500000000000000,0.000000000000000,0.093993365764618
3,663,5.000000000000000,89.000000000000000,6.000000000000000,16.000000000000000,21.000000000000000,22.000000000000000,100.000000000000000,0.004250331781805
3,971,5.000000000000000,87.000000000000000,6.000000000000000,18.250000000000000,20.500000000000000,22.000000000000000,100.000000000000000,0.003971981815994
3,1162,4.000000000000000,89.000000000000000,3.000000000000000,19.250000000000000,24.250000000000000,25.250000000000000,100.000000000000000,0.000318718346534
3,1622,7.000000000000000,87.000000000000000,5.000000000000000,17.500000000000000,20.000000000000000,21.000000000000000,100.000000000000000,0.000369397108443
3,1990,6.000000000000000,88.000000000000000,5.000000000000000,19.000000000000000,20.250000000000000,22.000000000000000,100.000000000000000,0.004459421150386
3,2186,3.000000000000000,91.000000000000000,5.000000000000000,20.750000000000000,22.500000000000000,24.000000000000000,100.000000000000000,0.001819557626732
3,2547,6.000000000000000,90.000000000000000,3.000000000000000,18.000000000000000,20.000000000000000,22.000000000000000,100.000000000000000,0.000321580504533
3,2956,6.000000000000000,88.000000000000000,3.000000000000000,19.250000000000000,21.250000000000000,22.000000000000000,100.000000000000000,0.000891404459253
3,3278,5.000000000000000,89.000000000000000,3.000000000000000,14.750000000000000,17.500000000000000,20.000000000000000,100.000000000000000,0.003472989657894
3,3656,6.000000000000000,73.000000000000000,19.000000000000000,18.750000000000000,20.500000000000000,28.250000000000000,0.000000000000000,0.031445864588022
3,4055,7.000000000000000,88.000000000000000,4.000000000000000,18.500000000000000,20.000000000000000,21.250000000000000,100.000000000000000,0.002113151829690
3,4362,3.000000000000000,89.000000000000000,5.000000000000000,20.000000000000000,22.250000000000000,24.500000000000000,100.000000000000000,0.000023985519874
3,4813,6.000000000000000,78.000000000000000,15.000000000000000,17.750000000000000,20.000000000000000,21.000000000000000,100.000000000000000,0.001843700418249
3,5088,5.000000000000000,85.000000000000000,10.000000000000000,20.750000000000000,22.000000000000000,22.750000000000000,99.000000000000000,0.006734160706401
3,5242,6.000000000000000,86.000000000000000,9.000000000000000,18.750000000000000,20.500000000000000,21.500000000000000,100.000000000000000,0.002764461096376
3,5847,6.000000000000000,89.000000000000000,4.000000000000000,18.000000000000000,20.250000000000000,21.750000000000000,100.000000000000000,0.001260783756152
3,6323,5.000000000000000,89.000000000000000,4.000000000000000,19.250000000000000,19.250000000000000,19.250000000000000,79.000000000000000,0.040437165647745
3,6722,5.000000000000000,88.000000000000000,6.000000000000000,18.250000000000000,21.000000000000000,22.750000000000000,99.000000000000000,0.002881565131247
3,7094,4.000000000000000,91.000000000000000,3.000000000000000,19.250000000000000,23.250000000000000,24.750000000000000,100.000000000000000,0.001710448297672
3,7626,6.000000000000000,89.000000000000000,3.000000000000000,18.250000000000000,19.750000000000000,22.000000000000000,99.000000000000000,0.006423095241189
3,8109,7.000000000000000,81.000000000000000,9.000000000000000,19.500000000000000,22.500000000000000,26.000000000000000,93.000000000000000,0.007622035220265
3,8276,7.000000000000000,73.000000000000000,14.000000000000000,19.000000000000000,20.000000000000000,21.750000000000000,99.000000000000000,0.002381395781413
3,8654,4.000000000000000,90.000000000000000,5.000000000000000,20.000000000000000,21.250000000000000,22.000000000000000,75.000000000000000,0.031502708792686
3,8958,6.000000000000000,90.000000000000000,2.000000000000000,19.000000000000000,20.500000000000000,22.000000000000000,100.000000000000000,0.001079786918126
3,9375,7.000000000000000,88.000000000000000,4.000000000000000,17.250000000000000,20.500000000000000,22.000000000000000,100.000000000000000,0.001036447938532
3,9907,5.000000000000000,91.000000000000000,2.000000000000000,18.250000000000000,20.000000000000000,22.000000000000000,100.000000000000000,0.000300308340229
3,251,6.000000000000000,89.000000000000000,3.000000000000000,19.000000000000000,21.000000000000000,22.000000000000000,100.000000000000000,0.001222293591127
3,692,15.000000000000000,65.000000000000000,15.000000000000000,17.250000000000000,20.000000000000000,21.250000000000000,66.000000000000000,0.000334666518029
3,1017,6.000000000000000,89.000000000000000,3.000000000000000,18.500000000000000,20.500000000000000,22.250000000000000,100.000000000000000,0.000308703747578
3,1178,6.000000000000000,86.000000000000000,6.000000000000000,19.000000000000000,21.500000000000000,22.500000000000000,100.000000000000000,0.008349811658263
3,1654,4.000000000000000,91.000000000000000,4.000000000000000,18.500000000000000,20.000000000000000,22.250000000000000,100.000000000000000,0.001399238244630
3,2021,8.000000000000000,87.000000000000000,5.000000000000000,19.000000000000000,20.250000000000000,22.000000000000000,83.000000000000000,0.006262426730245
3,2214,6.000000000000000,88.000000000000000,4.000000000000000,20.000000000000000,21.750000000000000,24.000000000000000,100.000000000000000,0.000174133121618
3,2564,7.000000000000000,87.000000000000000,4.000000000000000,17.500000000000000,20.000000000000000,21.000000000000000,100.000000000000000,0.000323525688145
3,3030,4.000000000000000,88.000000000000000,6.000000000000000,19.750000000000000,20.750000000000000,22.000000000000000,86.000000000000000,0.013814771547914
3,3304,6.000000000000000,89.000000000000000,3.000000000000000,19.000000000000000,20.750000000000000,23.000000000000000,100.000000000000000,0.000403224577894
