Name,LAI_k,LAI_m,LAI_s,LAI_v,CLD_k,CLD_m,CLD_s,CLD_v,LST_k,LST_m,LST_s,LST_v,POP
Aedes albopictus,-9999.000000000000000,11.211277961730957,0.560107529163361,40.948593139648438,-0.458529412746429,0.505394935607910,-0.134606376290321,0.025175508111715,-0.351569861173630,31.151638031005859,-0.409542024135590,47.856613159179688,0.068798385560513
Aedes albopictus,-9999.000000000000000,6.127067565917969,1.313343644142151,13.217688560485840,0.011698088608682,0.716744840145111,-0.608699798583984,0.016733489930630,-0.461844056844711,32.600898742675781,-0.516134381294250,66.685455322265625,19.062145233154297
Aedes albopictus,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.447001993656158,0.528501033782959,-0.060222335159779,0.023266090080142,-0.316854417324066,34.314044952392578,-0.572440981864929,65.173934936523438,26.533267974853516
Aedes albopictus,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.447001993656158,0.528501033782959,-0.060222335159779,0.023266090080142,-0.316854417324066,34.314044952392578,-0.572440981864929,65.173934936523438,26.533267974853516
Aedes albopictus,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.265777826309204,0.523394644260406,-0.217858254909515,0.023866072297096,-0.404458075761795,34.171516418457031,-0.536143064498901,65.198783874511719,23.500375747680664
Aedes albopictus,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.314070314168930,0.687385499477386,-0.340088516473770,0.015451760031283,-0.360480189323425,35.146656036376953,-0.595695674419403,54.674846649169922,35.030704498291016
Aedes albopictus,0.116036333143711,5.255639076232910,0.463119029998779,6.378257751464844,-0.261651247739792,0.462468713521957,0.019855972379446,0.022666394710541,-0.661339402198792,32.619720458984375,-0.303195208311081,58.309452056884766,10.506032943725586
Aedes albopictus,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.443777322769165,0.469848603010178,-0.071453489363194,0.022853236645460,-0.673515200614929,33.093936920166016,-0.158561423420906,63.156112670898438,11.214544296264648
Aedes albopictus,1.612182259559631,5.952631473541260,1.163177609443665,13.221064567565918,-0.499020457267761,0.600947022438049,-0.038541719317436,0.020298572257161,-0.403128355741501,33.316375732421875,-0.256940633058548,45.011116027832031,33.560871124267578
Aedes albopictus,0.517685711383820,5.313533782958984,0.550665140151978,5.728012561798096,-0.011320941150188,0.681177020072937,-0.513410866260529,0.019099164754152,-0.522349417209625,33.272624969482422,-0.393004804849625,49.844322204589844,6.458432674407959
Aedes albopictus,1.130124807357788,4.848120212554932,1.211468815803528,9.515278816223145,-0.326083064079285,0.666290044784546,-0.508123278617859,0.023954061791301,-0.624963223934174,34.059654235839844,-0.177563026547432,56.868137359619141,15.761087417602539
Aedes albopictus,4.516916275024414,2.281203031539917,1.458748102188110,0.585586547851562,-0.100109323859215,0.389211624860764,0.301819175481796,0.022857537493110,-0.679547250270844,36.254573822021484,-0.300976037979126,69.846267700195312,0.002096513519064
Aedes albopictus,-9999.000000000000000,4.890225410461426,1.764132380485535,19.642084121704102,-0.117944568395615,0.629074931144714,-0.125327244400978,0.016216859221458,0.326083868741989,33.166191101074219,-0.388193547725677,34.526538848876953,3.208950519561768
Aedes albopictus,-9999.000000000000000,4.804511070251465,0.864321589469910,5.664039611816406,0.071114778518677,0.757960140705109,-0.590236723423004,0.012830507010221,-0.210692971944809,31.675218582153320,-0.318276673555374,42.142280578613281,11.608503341674805
Aedes albopictus,1.856914639472961,7.563158035278320,1.170699834823608,15.566311836242676,-0.372641503810883,0.614185571670532,-0.219402238726616,0.020406221970916,-0.355492889881134,32.367801666259766,-0.268465667963028,51.150180816650391,1.479443073272705
Aedes albopictus,-9999.000000000000000,2.328571319580078,1.636720538139343,0.840161144733429,0.695491135120392,0.921689569950104,-0.845089435577393,0.003029194427654,0.352060079574585,33.664302825927734,-0.708388328552246,31.618728637695312,36.757568359375000
Aedes albopictus,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.063302896916866,0.719991624355316,-0.605303108692169,0.018624007701874,-0.477459251880646,34.080257415771484,-0.359372079372406,52.425090789794922,8.692479133605957
Aedes albopictus,-0.387367725372314,8.815789222717285,0.350576877593994,20.226968765258789,-0.203508600592613,0.420273244380951,0.310136646032333,0.024204162880778,-0.613492131233215,32.972240447998047,-0.245000943541527,57.950855255126953,0.996616899967194
Aedes albopictus,7.799286365509033,3.242105245590210,1.516161799430847,2.533866167068481,-0.235301002860069,0.718424975872040,-0.400420218706131,0.011767777614295,-0.530026018619537,34.679927825927734,-0.338058859109879,48.404472351074219,30.004104614257812
Aedes albopictus,7.711028099060059,3.427819490432739,1.960581541061401,4.904940128326416,0.302150756120682,0.834197103977203,-1.052904129028320,0.023405434563756,-0.689287126064301,34.514717102050781,-0.111947961151600,60.340412139892578,15.962543487548828
Aedes albopictus,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,11.500929832458496,0.969629704952240,-2.584825754165649,0.001827127300203,0.230561107397079,33.294254302978516,-0.656760692596436,31.502252578735352,33.490089416503906
Aedes albopictus,-9999.000000000000000,5.855638980865479,1.805447101593018,23.652843475341797,0.217124700546265,0.719983160495758,-0.351257860660553,0.011731774546206,0.324933290481567,32.691463470458984,-0.303993135690689,35.687961578369141,0.507462561130524
Aedes albopictus,-9999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.011062689125538,0.810611844062805,-0.539862155914307,0.008327299728990,0.400715649127960,34.991859436035156,-0.632653474807739,34.431961059570312,35.044704437255859
