class,feature,SoilCover,VegCover,Impervious,MinTemp,MedianTemp,MaxTemp,TreeCover,PopDensity
1,361,32.000000000000000,20.000000000000000,45.000000000000000,25.250000000000000,30.250000000000000,36.250000000000000,0.000000000000000,0.002883800305426
1,507,38.000000000000000,14.000000000000000,42.000000000000000,20.500000000000000,30.750000000000000,37.750000000000000,0.000000000000000,0.001021265168674
1,611,36.000000000000000,16.000000000000000,42.000000000000000,22.250000000000000,29.750000000000000,36.250000000000000,0.000000000000000,0.002077516634017
1,721,26.000000000000000,31.000000000000000,37.000000000000000,23.000000000000000,27.000000000000000,31.500000000000000,0.000000000000000,0.011669982224703
1,837,26.000000000000000,21.000000000000000,50.000000000000000,23.500000000000000,27.750000000000000,35.250000000000000,4.000000000000000,0.003918522037566
1,908,23.000000000000000,33.000000000000000,42.000000000000000,12.500000000000000,20.000000000000000,25.500000000000000,41.000000000000000,0.007366810925305
1,987,35.000000000000000,26.000000000000000,35.000000000000000,22.250000000000000,28.000000000000000,33.250000000000000,0.000000000000000,0.011611427180469
1,1049,30.000000000000000,24.000000000000000,44.000000000000000,20.250000000000000,29.000000000000000,35.250000000000000,0.000000000000000,0.008925298228860
1,1130,63.000000000000000,14.000000000000000,21.000000000000000,25.750000000000000,33.000000000000000,38.000000000000000,0.000000000000000,0.016768081113696
1,1215,29.000000000000000,29.000000000000000,36.000000000000000,24.250000000000000,29.500000000000000,35.000000000000000,0.000000000000000,0.020792562514544
1,1308,41.000000000000000,11.000000000000000,46.000000000000000,24.500000000000000,33.000000000000000,38.000000000000000,0.000000000000000,0.006851705722511
1,1396,37.000000000000000,24.000000000000000,35.000000000000000,26.750000000000000,32.000000000000000,37.000000000000000,0.000000000000000,0.004322949796915
1,1517,23.000000000000000,31.000000000000000,42.000000000000000,22.750000000000000,25.500000000000000,32.500000000000000,14.000000000000000,0.004575205966830
1,1708,43.000000000000000,22.000000000000000,32.000000000000000,26.250000000000000,34.250000000000000,41.000000000000000,0.000000000000000,0.000832066638395
1,1827,33.000000000000000,43.000000000000000,20.000000000000000,23.500000000000000,27.750000000000000,30.250000000000000,2.000000000000000,0.096168085932732
1,1948,29.000000000000000,31.000000000000000,35.000000000000000,24.000000000000000,28.500000000000000,35.000000000000000,3.000000000000000,0.101202711462975
