species,X,Y
Culicidae,-5404365.976397528,-5340606.493394287
Culicidae,-5497394.022071454,-3310463.282950181
Culicidae,-5484546.605217265,-3341984.086443669
Culicidae,-8639068.210974053,2199071.592288748
Culicidae,-8638966.861540698,2199230.0391075606
Culicidae,-8638966.861540698,2199230.0391075606
Culicidae,-4086530.679503429,-2680983.0313901803
Culicidae,-3798563.2548553096,-1598553.0147633743
Culicidae,-3798563.2548553096,-1598553.0147633743
Culicidae,-3798563.2548553096,-1598553.0147633743
Culicidae,-3798563.2548553096,-1598553.0147633743
Culicidae,-3830012.836342538,-1882316.9354910594
Culicidae,-3830012.836342538,-1882316.9354910594
Culicidae,-3874268.4720460563,-1823315.5687277701
Culicidae,-3874268.4720460563,-1823315.5687277701
Culicidae,-3833074.6624197867,-1820776.73500049
Culicidae,-3833074.6624197867,-1820776.73500049
Culicidae,-3833074.6624197867,-1820776.73500049
Culicidae,-3855775.950127293,-1820373.9307183423
Culicidae,-4038795.231592366,-455648.1018990867
Culicidae,-4062916.9462689334,-2728313.9961861544
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-3990249.343696261,-2738983.8062086916
Culicidae,-4279791.011440675,-1774988.6774269105
Culicidae,-4116016.4269997436,-2802780.098550063
Culicidae,-4116016.4269997436,-2802780.098550063
Culicidae,-4116016.4269997436,-2802780.098550063
Culicidae,-4116016.4269997436,-2802780.098550063
Culicidae,-4116016.4269997436,-2802780.098550063
