species,X,Y
Aedes aegypti,-3553514.0408812105,-1192239.5128670125
Aedes aegypti,-3549540.3041846696,-1192239.5128670125
Aedes aegypti,-3476095.028409009,-1002707.8594558715
Aedes aegypti,-3487051.201850986,-1002707.8594558715
Aedes aegypti,-3487104.762692479,-1001476.1670951061
Aedes aegypti,-3481341.7921816222,-996549.2805322746
Aedes aegypti,-3476414.3946961723,-995317.5296842037
Aedes aegypti,-3474475.146713482,-994085.7671822185
Aedes aegypti,-3471697.8049950143,-989158.6009254351
Aedes aegypti,-6009938.135286448,-383227.4275246842
Aedes aegypti,-6009076.0648068,-378284.37126536906
Aedes aegypti,-6005208.03313597,-373341.2443319164
Aedes aegypti,-5133716.311245191,-3118767.232090538
Aedes aegypti,-5132775.897925675,-3118767.232090538
Aedes aegypti,-4934160.621829977,-2864710.446734781
Aedes aegypti,-4118420.320419085,-2813227.922669883
Aedes aegypti,-4115354.610600938,-2802444.5755620333
Aedes aegypti,-4108686.211926352,-2802444.5755620333
Aedes aegypti,-4145838.7188276113,-2802444.5755620333
Aedes aegypti,-4118400.593235051,-2801246.257673643
Aedes aegypti,-4117447.921342098,-2801246.257673643
Aedes aegypti,-4125257.6146500893,-2800047.906199036
Aedes aegypti,-4137642.914647885,-2800047.906199036
Aedes aegypti,-4140501.060801222,-2800047.906199036
Aedes aegypti,-4136878.955195964,-2798849.5211534114
Aedes aegypti,-4121634.813490957,-2798849.5211534114
Aedes aegypti,-4130586.2944823606,-2796452.650409891
Aedes aegypti,-4311823.4339079475,-2795254.164742386
Aedes aegypti,-4104093.5977550345,-2795254.164742386
Aedes aegypti,-4104280.498380162,-2794055.6455646437
Aedes aegypti,-4123339.149405842,-2794055.6455646437
Aedes aegypti,-4128479.531372667,-2791658.506739223
Aedes aegypti,-4132479.515572722,-2790459.887121929
Aedes aegypti,-4131526.452953817,-2790459.887121929
Aedes aegypti,-4128276.770262956,-2786863.827634004
Aedes aegypti,-4141809.4258693918,-2785665.074309981
Aedes aegypti,-4145810.4181887037,-2784466.287597247
Aedes aegypti,-4141997.302145301,-2784466.287597247
Aedes aegypti,-4142897.4980959916,-2766480.490586743
Aedes aegypti,-3954496.6843951596,-2664421.6078497157
Aedes aegypti,-4746908.1368245715,-2551288.8422258627
Aedes aegypti,-5258537.312707,-2506683.392662001
Aedes aegypti,-3890542.5686080027,-2483761.9449914093
Aedes aegypti,-4238266.047832435,-2442718.0163511364
Aedes aegypti,-4347942.141326275,-2417350.5180686265
Aedes aegypti,-4693687.154435281,-1952608.8215526617
Aedes aegypti,-4709085.060885369,-1946517.4998883829
Aedes aegypti,-4682428.451183914,-1923365.2481812863
Aedes aegypti,-4667881.627108284,-1922146.4804894875
Aedes aegypti,-3800089.475243755,-1603315.3135987262
Aedes aegypti,-3791401.8087975523,-1600866.8665185345
Aedes aegypti,-3798494.820511033,-1598418.3440722257
Aedes aegypti,-3797602.7175162374,-1597194.0546234164
Aedes aegypti,-3795629.936883761,-1597194.0546234164
Aedes aegypti,-3797696.9072352364,-1595969.7463770427
Aedes aegypti,-3796992.549628826,-1592296.708999082
Aedes aegypti,-3795487.963387344,-1586174.6054522127
Aedes aegypti,-3794781.438034309,-1582501.1192186289
Aedes aegypti,-3849560.2323770304,-1510222.3308079191
Aedes aegypti,-3850548.3125188104,-1510222.3308079191
Aedes aegypti,-3671764.0081382203,-1344610.970060166
Aedes aegypti,-3711024.1324504656,-1318822.436919052
Aedes aegypti,-6733450.759470836,-1231582.871310114
Aedes aegypti,-6732457.9180141175,-1231582.871310114
Aedes aegypti,-6731720.089527239,-1229124.3398099279
Aedes aegypti,-3550533.7383588054,-1192239.5128670125
Aedes aegypti,-6180942.219952953,-1139349.4193908973
Aedes aegypti,-6359028.0258890595,-1081511.1150121822
Aedes aegypti,-3916820.4365188694,-701861.9656377597
Aedes aegypti,-3927746.1359454766,-642615.0374389077
Aedes aegypti,-4071993.972485454,-491954.91353066394
Aedes aegypti,-4437239.8829338765,-310310.57924729475
Aedes aegypti,-4859869.680976827,-176805.12583359174
Aedes aegypti,-4847909.268058758,-170623.5947839726
Aedes aegypti,-6074937.4275527205,349860.4546557095
Aedes aegypti,-4693177.8822120875,-3647365.0484448876
Aedes aegypti,-4695927.791127446,-3647365.0484448876
Aedes aegypti,-4390912.750585559,-2928078.025947317
Aedes aegypti,-4934391.765459579,-2863513.8962907135
Aedes aegypti,-4864434.752246312,-2851546.503599076
Aedes aegypti,-4865612.292601853,-2850349.5758399684
Aedes aegypti,-4818852.187334503,-2835983.778707835
Aedes aegypti,-4751962.351427097,-2832391.562783604
Aedes aegypti,-4132124.169003531,-2804841.1105193733
Aedes aegypti,-4484564.450822642,-2804841.1105193733
Aedes aegypti,-4118212.495747188,-2802444.5755620333
Aedes aegypti,-4615695.321356425,-2801246.257673643
Aedes aegypti,-4615906.0376396505,-2800047.906199036
Aedes aegypti,-4141453.7761856676,-2800047.906199036
Aedes aegypti,-4124304.8992656437,-2800047.906199036
Aedes aegypti,-4743336.4176351,-2731686.847837009
Aedes aegypti,-4772937.327662816,-2720883.2107651057
Aedes aegypti,-4104962.5175972036,-2714880.0495245485
Aedes aegypti,-4912699.4231971055,-2708876.075935724
Aedes aegypti,-4130902.2899619667,-2707675.18390274
Aedes aegypti,-4114235.873484258,-2704072.313445874
Aedes aegypti,-4760170.798906611,-2552493.819969992
Aedes aegypti,-4673807.55284733,-2521154.5444553783
Aedes aegypti,-4674959.2526666615,-2519948.7801376865
Aedes aegypti,-5258325.502306031,-2507889.486701004
Aedes aegypti,-5936348.80159119,-1570254.9569157443
Aedes aegypti,-5932834.404055383,-1566580.7472910418
Aedes aegypti,-3550468.5874166233,-1193469.2119785384
Aedes aegypti,-3921503.927543155,-890577.5975787032
Aedes aegypti,-3922714.453972371,-885646.7349864121
Aedes aegypti,-4315965.008914009,-417826.7648147755
Aedes aegypti,-6011452.496517037,-364690.6049189768
Aedes aegypti,-4442055.978100313,-321434.3770986354
Aedes aegypti,-4430122.8558453,-316490.5038450895
Aedes aegypti,-4485484.982209488,-300422.51225203444
Aedes aegypti,-4694716.606620234,-3648535.453920573
Aedes aegypti,-4428933.061953075,-2879066.3650674643
Aedes aegypti,-4128894.915453678,-2813227.922669883
Aedes aegypti,-4129084.3348305468,-2812029.9077414447
Aedes aegypti,-4141463.969598258,-2812029.9077414447
Aedes aegypti,-4113461.1096189483,-2808435.660678785
Aedes aegypti,-4118411.7222545804,-2807237.510949461
Aedes aegypti,-4119552.696143089,-2806039.3275579237
Aedes aegypti,-4131935.1666748486,-2806039.3275579237
Aedes aegypti,-4146791.3472096943,-2802444.5755620333
Aedes aegypti,-4150601.860738029,-2802444.5755620333
Aedes aegypti,-4005032.6379736653,-2801246.257673643
Aedes aegypti,-4004079.9660807126,-2801246.257673643
Aedes aegypti,-4120494.0377278607,-2800047.906199036
Aedes aegypti,-4123540.3312040837,-2798849.5211534114
Aedes aegypti,-4130398.0108359284,-2797651.1025519636
Aedes aegypti,-4124292.0819571265,-2794055.6455646437
Aedes aegypti,-4125245.014508409,-2794055.6455646437
Aedes aegypti,-4123526.8340958427,-2792857.092891859
Aedes aegypti,-4129432.5506550698,-2791658.506739223
Aedes aegypti,-4115324.3884324282,-2790459.887121929
Aedes aegypti,-4125808.077240385,-2790459.887121929
Aedes aegypti,-4114558.3258635886,-2789261.234055167
Aedes aegypti,-4114745.242289111,-2788062.5475541293
Aedes aegypti,-4214245.93976443,-2761683.016395247
Aedes aegypti,-4210231.201578192,-2756885.0128420745
Aedes aegypti,-4137640.3876962094,-2713679.319734069
Aedes aegypti,-4130720.803198033,-2708876.075935724
Aedes aegypti,-3957198.485152617,-2665623.656860919
Aedes aegypti,-4020212.899252226,-2599464.047609135
Aedes aegypti,-3886565.510677809,-2492207.9374997113
Aedes aegypti,-3881096.61727989,-2489794.945079022
Aedes aegypti,-3889734.082227873,-2482555.2561164233
Aedes aegypti,-4239064.911810248,-2443925.6735793045
Aedes aegypti,-4238431.838770311,-2441510.330033907
Aedes aegypti,-4244084.542836341,-2435471.46263653
Aedes aegypti,-3918917.3034832547,-904136.6071956776
Aedes aegypti,-3921396.9113133,-893042.9664076907
Aedes aegypti,-3930372.641781717,-893042.9664076907
Aedes aegypti,-3920506.5969410334,-890577.5975787032
Aedes aegypti,-4758312.568862352,-531481.6661952342
Aedes aegypti,-3861347.5706121884,-469718.4989895099
Aedes aegypti,-3862348.4383080443,-469718.4989895099
Aedes aegypti,-3863404.419535672,-467247.6749983631
Aedes aegypti,-3859455.6573896874,-464776.8291782082
Aedes aegypti,-3860483.834514095,-463541.3981183758
Aedes aegypti,-3858482.0280144764,-463541.3981183758
Aedes aegypti,-3855506.491256078,-462305.96164463914
Aedes aegypti,-3857562.4681777693,-459835.0725132484
Aedes aegypti,-6009903.033751753,-384463.1804383553
Aedes aegypti,-6012942.103031508,-383227.4275246842
Aedes aegypti,-6011009.3333273595,-380755.90828706603
Aedes aegypti,-6081010.768895918,347388.7050817365
Aedes aegypti,-4990983.653820958,-3454825.8551935484
Aedes aegypti,-5056192.014217972,-3393537.239707848
Aedes aegypti,-5133041.515303019,-3117578.352688666
Aedes aegypti,-4307947.915686928,-2908958.506420399
Aedes aegypti,-4935342.149081585,-2863513.8962907135
Aedes aegypti,-4115166.5599375432,-2803642.8598490097
Aedes aegypti,-4140668.2729213294,-2786863.827634004
Aedes aegypti,-4138949.7185557885,-2785665.074309981
Aedes aegypti,-4140856.19009819,-2785665.074309981
Aedes aegypti,-4143715.897411794,-2785665.074309981
Aedes aegypti,-4142950.581156152,-2784466.287597247
Aedes aegypti,-4140090.7441236004,-2784466.287597247
Aedes aegypti,-4141044.0231344504,-2784466.287597247
Aedes aegypti,-4141231.7720324267,-2783267.4675109917
Aedes aegypti,-4144091.738725819,-2783267.4675109917
Aedes aegypti,-4145232.8985226047,-2782068.614066401
Aedes aegypti,-4142372.802226476,-2782068.614066401
Aedes aegypti,-4144467.243263545,-2780869.727278659
Aedes aegypti,-5496772.359117023,-1925802.7153774088
Aedes aegypti,-3797508.4546786495,-1598418.3440722257
Aedes aegypti,-6359133.529890982,-1080280.2033506194
Aedes aegypti,-3602004.931366438,-923856.5124258364
Aedes aegypti,-3804294.206537214,-902904.0225695246
Aedes aegypti,-3580270.1977902455,-894275.6351546514
Aedes aegypti,-3478068.7953434344,-880715.706588246
Aedes aegypti,-3703635.6407698696,-799330.6256760806
Aedes aegypti,-3776922.6462215167,-788229.4120782046
Aedes aegypti,-3521216.2637982457,-731478.4409098764
Aedes aegypti,-3517648.5831395104,-717904.8224747159
Aedes aegypti,-3928784.282090218,-641380.5368826898
Aedes aegypti,-3732844.913314218,-641380.5368826898
Aedes aegypti,-3861484.7377639045,-463541.3981183758
Aedes aegypti,-4041817.0917889904,-456128.6985731022
Aedes aegypti,-6009867.819133184,-385698.92886267696
Aedes aegypti,-4438241.517218964,-310310.57924729475
Aedes aegypti,-4854898.239512827,-173096.2132796641
Aedes aegypti,-4847921.79608487,-169387.28254150567
Aedes aegypti,-4875575.026091187,-2847955.6177070676
Aedes aegypti,-4854879.776619925,-2846758.587363731
Aedes aegypti,-4993362.462958438,-2824008.5369805447
Aedes aegypti,-4120276.9614797984,-2789261.234055167
Aedes aegypti,-4677122.981279432,-2325439.2828050195
Aedes aegypti,-4675705.640830246,-2321807.8895642157
Aedes aegypti,-4674737.184815161,-2321807.8895642157
