x,y,raw,cumulative,Logistic
-73.333968261363,-46.00721726825,1.345E-4,38.209266996,0.483757932
-69.70477451319499,-42.485821354186,1.06235E-4,26.826787785,0.425336792
-52.789497711709004,-16.919768365853997,1.0424E-4,25.954354392,0.420711531
-65.994732389449,-7.451525270386,1.55825E-5,1.500276401,0.097933049
-68.150689071529,-4.945225627467998,8.24039E-5,18.12786671,0.364723722
-55.179016367681,-6.669990973131995,1.80037E-4,53.292848657,0.55641142
-63.281820231165,-6.247782789557995,1.51789E-5,1.268797651,0.095639156
-58.386001932275,1.4328128903520039,1.51789E-5,1.268797651,0.095639156
-67.809329263533,-39.40459992938,1.77049E-4,52.381649111,0.552276209
-69.561044067723,-18.213342375101995,2.92286E-4,88.191383535,0.67066206
-73.073456828945,-51.388125820607996,1.24555E-4,34.295001399,0.46460755
-109.16776494810101,29.541098132970006,1.49007E-4,42.803790213,0.509358858
-46.60010540357101,-1.6214590759279943,1.49398E-4,42.95305332,0.510014422
-66.461856337233,17.988763578158,2.15848E-4,67.074869907,0.600613487
-57.891928525965,-26.271230474375997,2.20762E-4,68.688544282,0.606000736
-59.832289539837,-15.554329133869999,2.26883E-4,70.791168178,0.612512002
-62.428420711175,-19.614714218453997,3.41041E-5,4.915346514,0.191989344
-44.659744389699,-14.826693753667996,3.55642E-5,5.439149778,0.198577033
-72.80396224368499,-2.6455384999160003,1.83097E-5,2.859933566,0.113133726
-52.025929720139004,-23.702048761564,9.15358E-5,21.392612818,0.389403004
-87.401585611935,14.099058397572009,1.12328E-4,29.422236657,0.43902266
-58.314136709539,-32.604353227985996,1.53577E-4,44.452352359,0.516906427
-68.501032032367,-25.426814107227997,3.16633E-4,91.533058141,0.688086945
-67.701531429429,-28.795496422977997,2.86817E-4,87.147343963,0.666476458
-40.904786501743004,-10.011723830355997,1.0651E-4,26.965109333,0.425969321
-52.49305366792301,0.3099187851020062,1.66709E-5,2.368751358,0.104061948
-55.789870760937,-1.8280715912939982,4.20788E-5,7.963232519,0.22670541
-71.74395020832901,-51.271344833662,9.46262E-5,22.55717352,0.397326385
-67.11762649469901,-13.766681718312,2.39959E-5,3.528180934,0.143235945
