species,X,Y
Aedes aegypti,-46.45,-23.65
Aedes aegypti,-51.94,-23.42
Aedes aegypti,-49.98,-23.16
Aedes aegypti,-45.56,-23.04
Aedes aegypti,-47.28,-22.8
Aedes aegypti,-44.82,-21.21
Aedes aegypti,-47.81,-21.2
Aedes aegypti,-56.09,-15.62
Aedes aegypti,-63.03,-7.51
Aedes aegypti,-35.87,-7.23
Aedes aegypti,-63.12,-4.1
Aedes aegypti,-60.62,-3.29
Aedes aegypti,-60.01,-3.12
Aedes aegypti,-60.06,-3.11
Aedes aegypti,-59.96,-3.09
Aedes aegypti,-59.94,-3.06
Aedes aegypti,-48.5,-1.44
Aedes aegypti,-45.42,-23.62
Aedes aegypti,-56.08,-15.58
Aedes aegypti,-60.69,2.82
Aedes aegypti,-54.57,-25.58
Aedes aegypti,-45.18,-23.1
Aedes aegypti,-50.74,-21.92
Aedes aegypti,-52.11,-21.77
Aedes aegypti,-51.71,-20.79
Aedes aegypti,-49.26,-16.69
Aedes aegypti,-39.28,-14.79
Aedes aegypti,-59.94,-3.05
Aedes aegypti,-43.36,-21.75
Aedes aegypti,-54.57,-25.55
Aedes aegypti,-53.45,-24.95
Aedes aegypti,-43.25,-22.9
Aedes aegypti,-43.39,-22.89
Aedes aegypti,-43.25,-22.87
Aedes aegypti,-43.27,-22.85
Aedes aegypti,-43.27,-22.84
Aedes aegypti,-45.31,-22.81
Aedes aegypti,-43.42,-22.8
Aedes aegypti,-43.4,-22.75
Aedes aegypti,-49.76,-21.67
Aedes aegypti,-47.39,-20.54
Aedes aegypti,-56.09,-15.61
Aedes aegypti,-36.14,-7.49
Aedes aegypti,-35.9,-7.23
Aedes aegypti,-48.2,-7.2
Aedes aegypti,-35.79,-6.97
Aedes aegypti,-59.93,-3.12
Aedes aegypti,-59.98,-3.11
Aedes aegypti,-59.99,-3.11
Aedes aegypti,-76.53,3.43
Aedes aegypti,-76.47,3.46
Aedes aegypti,-76.52,3.47
Aedes aegypti,-76.47,3.48
Aedes aegypti,-76.48,3.48
Aedes aegypti,-75.18,6.87
Aedes aegypti,-74.78,-0.16
Aedes aegypti,-76.51,3.41
Aedes aegypti,-76.52,3.43
Aedes aegypti,-76.52,3.45
Aedes aegypti,-76.3,3.53
Aedes aegypti,-76.31,3.55
Aedes aegypti,-77.04,3.88
Aedes aegypti,-76.2,4.08
Aedes aegypti,-76.21,4.09
Aedes aegypti,-73.95,4.41
Aedes aegypti,-74.78,10.89
Aedes aegypti,-74.65,4.21
Aedes aegypti,-74.81,4.3
Aedes aegypti,-74.77,10.87
Aedes aegypti,-74.77,10.88
Aedes aegypti,-74.75,10.92
Aedes aegypti,-69.73,-1.26
Aedes aegypti,-76.85,0.27
Aedes aegypti,-76.78,0.4
Aedes aegypti,-76.87,0.67
Aedes aegypti,-76.58,0.68
Aedes aegypti,-76.65,5.69
Aedes aegypti,-75.61,6.27
Aedes aegypti,-74.33,6.55
Aedes aegypti,-76.73,8.1
Aedes aegypti,-75.61,1.61
Aedes aegypti,-75.6,1.62
Aedes aegypti,-72.63,2.57
Aedes aegypti,-72.65,2.58
Aedes aegypti,-73.76,3.98
Aedes aegypti,-72.96,4.09
Aedes aegypti,-72.95,4.09
Aedes aegypti,-73.63,4.15
